tweet_id,label,split
592326564110585856,other_useful_information,test
592616512642420737,missing_trapped_or_found_people,train
592686635520827393,injured_or_dead_people,test
593301431366635520,donation_needs_or_offers_or_volunteering_services,train
592590231519555584,other_useful_information,test
592637329786830848,sympathy_and_emotional_support,train
592955183753203715,injured_or_dead_people,train
593831023286288386,donation_needs_or_offers_or_volunteering_services,test
592877872538324993,not_related_or_irrelevant,train
592645748459708416,injured_or_dead_people,train
593817049647820802,donation_needs_or_offers_or_volunteering_services,train
593470045814181888,other_useful_information,train
593155728128516097,other_useful_information,train
592329933268996096,donation_needs_or_offers_or_volunteering_services,train
593609036144214016,other_useful_information,train
592748010221740032,injured_or_dead_people,train
592341651512659968,other_useful_information,train
592380152480313344,sympathy_and_emotional_support,train
597666520702025728,donation_needs_or_offers_or_volunteering_services,test
593719989972013056,other_useful_information,train
592321122906935297,sympathy_and_emotional_support,train
592344656286908416,caution_and_advice,train
593145585206632449,donation_needs_or_offers_or_volunteering_services,train
592314725003722753,sympathy_and_emotional_support,train
592344219701784576,missing_trapped_or_found_people,train
592326586436820992,sympathy_and_emotional_support,train
592208578728984577,sympathy_and_emotional_support,train
592310973039550464,donation_needs_or_offers_or_volunteering_services,train
592909991968960512,donation_needs_or_offers_or_volunteering_services,train
593186333348114434,other_useful_information,train
593380623923941376,donation_needs_or_offers_or_volunteering_services,test
591940933039427584,displaced_people_and_evacuations,train
592700745964756992,sympathy_and_emotional_support,train
592111870376419328,not_related_or_irrelevant,train
592339417756348416,displaced_people_and_evacuations,train
592131874014629888,not_related_or_irrelevant,train
592648766169026561,missing_trapped_or_found_people,test
592137499322941440,not_related_or_irrelevant,test
592627603317641216,displaced_people_and_evacuations,test
593154950470848512,other_useful_information,train
592378631738949632,other_useful_information,test
593279330186178560,donation_needs_or_offers_or_volunteering_services,train
592340850090225666,sympathy_and_emotional_support,test
592720104372183040,not_related_or_irrelevant,train
592219472968097792,injured_or_dead_people,train
592153082634481664,injured_or_dead_people,train
592655359115952128,other_useful_information,train
592329254882381825,donation_needs_or_offers_or_volunteering_services,train
592338913575837697,donation_needs_or_offers_or_volunteering_services,train
592343436650356736,other_useful_information,test
592103300662624257,other_useful_information,train
592907239352074240,donation_needs_or_offers_or_volunteering_services,train
593780878779645954,missing_trapped_or_found_people,test
592137589601267713,other_useful_information,test
591944475611516928,infrastructure_and_utilities_damage,train
592695034924924929,sympathy_and_emotional_support,train
592235159044296704,other_useful_information,train
592648960969433088,not_related_or_irrelevant,train
593162119601790977,donation_needs_or_offers_or_volunteering_services,train
591921491442278400,other_useful_information,train
592390506690150403,sympathy_and_emotional_support,test
592338885927182337,sympathy_and_emotional_support,test
592330302694903808,injured_or_dead_people,train
592750556873121794,donation_needs_or_offers_or_volunteering_services,test
591977415473242113,other_useful_information,train
593111666042212352,donation_needs_or_offers_or_volunteering_services,train
592913734185652224,displaced_people_and_evacuations,test
592312180256710657,donation_needs_or_offers_or_volunteering_services,train
592164451404525569,other_useful_information,train
593164229789806593,donation_needs_or_offers_or_volunteering_services,train
592243142847397888,donation_needs_or_offers_or_volunteering_services,train
592159086088687616,sympathy_and_emotional_support,train
592341527478685697,missing_trapped_or_found_people,train
592203493647212545,sympathy_and_emotional_support,train
592591553287168000,donation_needs_or_offers_or_volunteering_services,train
592685210304696321,not_related_or_irrelevant,test
591927517520375809,injured_or_dead_people,train
592226159095492611,sympathy_and_emotional_support,train
591990088071979010,other_useful_information,train
592344443950338048,injured_or_dead_people,train
593466034495082496,other_useful_information,test
592797100133453825,donation_needs_or_offers_or_volunteering_services,train
592959812935294976,donation_needs_or_offers_or_volunteering_services,train
592271548926537728,donation_needs_or_offers_or_volunteering_services,train
592695939619520513,infrastructure_and_utilities_damage,train
593114266682728450,sympathy_and_emotional_support,train
592867848080465924,sympathy_and_emotional_support,train
597789995307413505,other_useful_information,test
592188182889943042,sympathy_and_emotional_support,test
592700759445250048,infrastructure_and_utilities_damage,train
593832138379661313,donation_needs_or_offers_or_volunteering_services,train
592336656658640896,other_useful_information,train
593075843871670272,donation_needs_or_offers_or_volunteering_services,train
600405858749526016,not_related_or_irrelevant,train
591986639817216000,sympathy_and_emotional_support,test
592333153437487105,sympathy_and_emotional_support,train
592213228521938944,sympathy_and_emotional_support,train
592141642615922688,sympathy_and_emotional_support,train
592909512350240769,donation_needs_or_offers_or_volunteering_services,train
592903934806720512,infrastructure_and_utilities_damage,test
593298855174795264,not_related_or_irrelevant,train
592687111804952578,donation_needs_or_offers_or_volunteering_services,train
593066729590358016,not_related_or_irrelevant,train
592339203234619392,donation_needs_or_offers_or_volunteering_services,test
591977397194395648,sympathy_and_emotional_support,train
592630549887356928,displaced_people_and_evacuations,train
591961175299993600,sympathy_and_emotional_support,train
592644197288644608,other_useful_information,train
593425928887369729,injured_or_dead_people,train
592692823016787969,donation_needs_or_offers_or_volunteering_services,train
591924112500523009,donation_needs_or_offers_or_volunteering_services,train
592344116857597952,donation_needs_or_offers_or_volunteering_services,train
592315941905567745,donation_needs_or_offers_or_volunteering_services,train
593696945740218368,donation_needs_or_offers_or_volunteering_services,train
593608686037180417,sympathy_and_emotional_support,train
592335488733749249,sympathy_and_emotional_support,train
593165958052761600,donation_needs_or_offers_or_volunteering_services,train
600332693126008832,sympathy_and_emotional_support,train
592176468601409536,infrastructure_and_utilities_damage,test
592344029775302656,infrastructure_and_utilities_damage,train
592891921401544706,donation_needs_or_offers_or_volunteering_services,train
593824070220689408,missing_trapped_or_found_people,train
593785051071942656,other_useful_information,test
591944570604101632,infrastructure_and_utilities_damage,train
592781058833326080,sympathy_and_emotional_support,train
591984989450829826,injured_or_dead_people,train
593373004563746817,not_related_or_irrelevant,train
592344880988299264,donation_needs_or_offers_or_volunteering_services,test
591915487350493184,sympathy_and_emotional_support,test
592335443141660672,donation_needs_or_offers_or_volunteering_services,test
591983027925950464,injured_or_dead_people,train
600456575065587712,donation_needs_or_offers_or_volunteering_services,train
593829038315143168,other_useful_information,train
591916893205762048,sympathy_and_emotional_support,train
592897154378813441,donation_needs_or_offers_or_volunteering_services,train
592299377449902080,injured_or_dead_people,train
593155015897812992,displaced_people_and_evacuations,train
592835687935844352,infrastructure_and_utilities_damage,train
592869795831402496,other_useful_information,train
592828952269463552,infrastructure_and_utilities_damage,train
593830830260113410,missing_trapped_or_found_people,train
593774892597796864,other_useful_information,train
592337263394222080,sympathy_and_emotional_support,train
592673231385055233,other_useful_information,test
593017309310025728,sympathy_and_emotional_support,train
592336565554139136,injured_or_dead_people,train
592866125182070788,donation_needs_or_offers_or_volunteering_services,train
591911478086664192,not_related_or_irrelevant,train
592674121022078976,sympathy_and_emotional_support,test
592791832620310529,sympathy_and_emotional_support,train
591906070877974528,sympathy_and_emotional_support,train
592697288771895296,other_useful_information,train
592658099313467394,not_related_or_irrelevant,train
592089733410455553,other_useful_information,train
592949786992508929,injured_or_dead_people,train
593160207775174657,donation_needs_or_offers_or_volunteering_services,train
592113014242877440,injured_or_dead_people,train
593148846080798721,other_useful_information,train
593276690635227136,not_related_or_irrelevant,test
592358000112861186,injured_or_dead_people,test
593812727438651394,other_useful_information,train
593465915238416384,missing_trapped_or_found_people,train
593745459874631680,not_related_or_irrelevant,test
592638136833867778,other_useful_information,train
593146051772616705,sympathy_and_emotional_support,train
592107163562086400,sympathy_and_emotional_support,train
592862990598279168,sympathy_and_emotional_support,train
592344542306705408,donation_needs_or_offers_or_volunteering_services,train
592143651817574402,not_related_or_irrelevant,train
592883809391083520,injured_or_dead_people,test
592380726642941952,donation_needs_or_offers_or_volunteering_services,train
593693482092523520,other_useful_information,train
593776885148086272,donation_needs_or_offers_or_volunteering_services,train
592335911683104768,injured_or_dead_people,test
591937345898831872,not_related_or_irrelevant,train
591960470283771904,other_useful_information,test
593766520934637569,donation_needs_or_offers_or_volunteering_services,train
592342776181858304,sympathy_and_emotional_support,test
593751877176598528,donation_needs_or_offers_or_volunteering_services,train
592616696885555201,not_related_or_irrelevant,train
593057434215718912,donation_needs_or_offers_or_volunteering_services,train
592752900960563202,displaced_people_and_evacuations,test
592945195605467136,donation_needs_or_offers_or_volunteering_services,test
592666409576038400,missing_trapped_or_found_people,train
592862623160471552,injured_or_dead_people,train
592622234239246337,donation_needs_or_offers_or_volunteering_services,train
593501207051669504,other_useful_information,train
592342861439488001,injured_or_dead_people,train
592896910962401281,injured_or_dead_people,train
593073081742036992,infrastructure_and_utilities_damage,train
593831108849991681,injured_or_dead_people,train
