tweet_id,tweet_text,clean_text,label,priority_level,priority_score,true_label,predicted_label,prediction_confidence,true_label_confidence,label_correct,true_priority_level,true_priority_score,predicted_priority_level,predicted_priority_score,priority_correct,priority_signed_error,priority_distance,under_prioritised,over_prioritised,severe_priority_error
593106744517099520,RT @TheEthanH26: Pray for Nepal  Pray for Baltimore  Pray for the homeless people sleeping 100 feet away from you  Pray for a change in the…,RT USER : Pray for Nepal Pray for Baltimore Pray for the homeless people sleeping 100 feet away from you Pray for a change in the…,sympathy_and_emotional_support,low,4,sympathy_and_emotional_support,sympathy_and_emotional_support,0.7479337747750505,0.7479337747750505,True,low,4,low,4,True,0,0,False,False,False
592384707205144576,British archeologist 'terrified' after narrowly escaping death in Nepal earthquake http://t.co/en95LJXFwX http://t.co/xjCod1mYy3,British archeologist 'terrified' after narrowly escaping death in Nepal earthquake URL URL,injured_or_dead_people,high,1,injured_or_dead_people,injured_or_dead_people,0.35534141726410173,0.35534141726410173,True,high,1,high,1,True,0,0,False,False,False
592707878919786497,RT @Fargo_CHARISM: Our thoughts are with Nepal - many neighbors are originally from Nepal.  6 easy ways to contribute to relief efforts: ht…,RT USER : Our thoughts are with Nepal - many neighbors are originally from Nepal. 6 easy ways to contribute to relief efforts: ht…,sympathy_and_emotional_support,low,4,sympathy_and_emotional_support,donation_needs_or_offers_or_volunteering_services,0.3329066715083526,0.22012371965699576,False,low,4,medium,3,False,-1,1,False,True,False
592601585475145728,Experts had long warned Nepal was ripe for disaster  http://t.co/BnzHZZBBD3 #NepalEarthquake http://t.co/7xttPkXcVp,Experts had long warned Nepal was ripe for disaster URL NepalEarthquake URL,caution_and_advice,medium_high,2,caution_and_advice,other_useful_information,0.22447618262288122,0.05990454935120749,False,medium_high,2,medium,3,False,1,1,True,False,False
592147611894833152,I hope all these amazing temples I've visited can be rebuilt and the casualties are minimal. The world loves you Nepal :) #NepalEarthquake,I hope all these amazing temples I've visited can be rebuilt and the casualties are minimal. The world loves you Nepal :) NepalEarthquake,other_useful_information,medium,3,other_useful_information,sympathy_and_emotional_support,0.24373391469708894,0.09991792984076901,False,medium,3,low,4,False,1,1,True,False,False
592344582983057408,RT @VVSLaxman281: Really proud of the Indian Govt&amp;Indian Air Force for their all out support to Nepal at this hour of grief and tragedy. #N…,RT USER : Really proud of the Indian Govt&amp;Indian Air Force for their all out support to Nepal at this hour of grief and tragedy. N…,sympathy_and_emotional_support,low,4,sympathy_and_emotional_support,sympathy_and_emotional_support,0.2443682075573111,0.2443682075573111,True,low,4,low,4,True,0,0,False,False,False
592340951357468672,"#retweet: RT AJENews: Aftershocks reported as death toll in Nepal quake hits 2,430 killed http://t.co/IEHdsT726w http://t.co/4y1PzyLSae","retweet: RT AJENews: Aftershocks reported as death toll in Nepal quake hits 2,430 killed URL URL",injured_or_dead_people,high,1,injured_or_dead_people,injured_or_dead_people,0.9402953737913516,0.9402953737913516,True,high,1,high,1,True,0,0,False,False,False
593825567948038144,"RT @UN: NepalQuake: Despite heavy rain, @WFP completed food distributions in Gorkha District. http://t.co/R4FG4tqywv http://t.co/0rSWIlq3G9","RT USER : NepalQuake: Despite heavy rain, USER completed food distributions in Gorkha District. URL URL",donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,other_useful_information,0.2638550123676115,0.13720803387227756,False,medium,3,medium,3,True,0,0,False,False,False
593184937047494657,RT @JohnKerry: Just announced U.S. Is providing an additional $9 million for #NepalEarthquake response and recovery efforts. #WeStandwithNe…,RT USER : Just announced U.S. Is providing an additional $9 million for NepalEarthquake response and recovery efforts. WeStandwithNe…,donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,donation_needs_or_offers_or_volunteering_services,0.34214737381054783,0.34214737381054783,True,medium,3,medium,3,True,0,0,False,False,False
592293901278572544,"RT @WorldVisionUK: #NepalQuake: #WorldVision is planning to respond in its initial phase w first aid, sleeping mats, blankets, shelter, pro…","RT USER : NepalQuake: WorldVision is planning to respond in its initial phase w first aid, sleeping mats, blankets, shelter, pro…",donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,donation_needs_or_offers_or_volunteering_services,0.291620675455859,0.291620675455859,True,medium,3,medium,3,True,0,0,False,False,False
